Tỉnh	Vị trí	Nhiệt độ	Độ ẩm	Tốc độ gió	Áp suất	Ngày giờ	VN_AQI	CO	NO2	O3	PM-10	PM-2-5	SO2	Miền
Cần Thơ	('10.026977', '105.768249')	26.1	84	2.37	1005	06/07/2021 00:00	13				13.0	10.0		3
Tp. Hồ Chí Minh	('10.65961', '106.727916')	26.01	94	0.51	1006	06/07/2021 01:00	53				53.0	44.0		3
Cần Thơ	('10.026977', '105.768249')	24.99	100	0.51	1005	06/07/2021 01:00	16				16.0	14.0		3
Tp. Hồ Chí Minh	('10.65961', '106.727916')	26.01	100	0.51	1005	06/07/2021 02:00	50				50.0	35.0		3
Cần Thơ	('10.026977', '105.768249')	24.99	100	0.51	1005	06/07/2021 02:00	16				16.0	13.0		3
Tp. Hồ Chí Minh	('10.65961', '106.727916')	29.01	89	3.09	1006	06/07/2021 08:00	52				52.0	43.0		3
Cần Thơ	('10.026977', '105.768249')	24.99	100	4.63	1007	06/07/2021 08:00	19				19.0	15.0		3
Cần Thơ	('10.026977', '105.768249')	26.99	88	3.54	1008	04/07/2021 07:00	16				16.0	14.0		3
Cần Thơ	('10.026977', '105.768249')	25.99	90	3.96	1007	04/07/2021 06:00	15				15.0	12.0		3
Cần Thơ	('10.026977', '105.768249')	25.99	94	3.54	1007	04/07/2021 05:00	15				15.0	13.0		3
Cần Thơ	('10.026977', '105.768249')	26.99	95	2.96	1008	04/07/2021 04:00	13				13.0	12.0		3
Cần Thơ	('10.026977', '105.768249')	25.99	95	3.54	1007	04/07/2021 03:00	15				15.0	15.0		3
Cần Thơ	('10.026977', '105.768249')	25.99	96	3.54	1008	04/07/2021 02:00	18				16.0	18.0		3
Cần Thơ	('10.026977', '105.768249')	25.99	96	1.54	1005	05/07/2021 14:00	18				18.0	13.0		3
Cần Thơ	('10.026977', '105.768249')	24.32	90	2.35	1005	05/07/2021 13:00	18				18.0	10.0		3
Cần Thơ	('10.026977', '105.768249')	24.99	99	3.25	1005	06/07/2021 07:00	22				22.0	17.0		3
Cần Thơ	('10.026977', '105.768249')	24.99	98	4.35	1005	06/07/2021 06:00	21				21.0	17.0		3
Cần Thơ	('10.026977', '105.768249')	23.99	97	2.25	1006	06/07/2021 05:00	18				18.0	14.0		3
Cần Thơ	('10.026977', '105.768249')	23.99	95	3.64	1005	06/07/2021 04:00	17				17.0	13.0		3
Cần Thơ	('10.026977', '105.768249')	24.99	100	1.45	1007	06/07/2021 03:00	15				15.0	13.0		3
Cần Thơ	('10.026977', '105.768249')	23.99	96	4.32	1005	06/07/2021 18:00	9				9.0	7.0		3
Cần Thơ	('10.026977', '105.768249')	25.99	92	3.85	1007	06/07/2021 17:00	8				8.0	6.0		3
Tp. Hồ Chí Minh	('10.65961', '106.727916')	29.01	84	2.59	1007	04/07/2021 07:00	34				34.0	22.0		3
Tp. Hồ Chí Minh	('10.65961', '106.727916')	27.01	80	3.39	1005	04/07/2021 06:00	49				49.0	25.0		3
Tp. Hồ Chí Minh	('10.65961', '106.727916')	28.01	76	4.09	1007	04/07/2021 05:00	55				55.0	27.0		3
Tp. Hồ Chí Minh	('10.65961', '106.727916')	28.01	74	3.59	1006	04/07/2021 04:00	40				40.0	21.0		3
Tp. Hồ Chí Minh	('10.65961', '106.727916')	27.01	76	3.59	1006	04/07/2021 03:00	47				47.0	21.0		3
Tp. Hồ Chí Minh	('10.65961', '106.727916')	27.01	74	4.19	1005	04/07/2021 02:00	44				44.0	19.0		3
Tp. Hồ Chí Minh	('10.65961', '106.727916')	30.01	100	2.06	1005	05/07/2021 14:00	13				13.0	10.0		3
Tp. Hồ Chí Minh	('10.65961', '106.727916')	28.01	100	1.57	1004	05/07/2021 13:00	18				18.0	14.0		3
Tp. Hồ Chí Minh	('10.65961', '106.727916')	28.01	93	3.12	1004	06/07/2021 07:00	54				54.0	50.0		3
Tp. Hồ Chí Minh	('10.65961', '106.727916')	27.01	95	2.54	1004	06/07/2021 06:00	55				55.0	45.0		3
Tp. Hồ Chí Minh	('10.65961', '106.727916')	26.01	100	1.66	1004	06/07/2021 05:00	53				53.0	36.0		3
Tp. Hồ Chí Minh	('10.65961', '106.727916')	26.01	100	0.51	1004	06/07/2021 04:00	42				42.0	25.0		3
Tp. Hồ Chí Minh	('10.65961', '106.727916')	25.01	100	1.12	1004	06/07/2021 03:00	46				46.0	29.0		3
Tp. Hồ Chí Minh	('10.65961', '106.727916')	27.01	89	1.54	1006	06/07/2021 18:00	11				11.0	7.0		3
Tp. Hồ Chí Minh	('10.65961', '106.727916')	27.01	85	3.56	1004	06/07/2021 17:00	10				10.0	6.0		3
Nghệ An	('18.675369', '105.690945')	31.6	61	3.18	1004	03/07/2021 08:00	26				26.0	19.0		2
Nghệ An	('18.675369', '105.690945')	33.68	54	4.05	1004	03/07/2021 09:00	23				23.0	15.0		2
Nghệ An	('18.675369', '105.690945')	35.45	47	4.25	1003	03/07/2021 10:00	20				20.0	11.0		2
Nghệ An	('18.675369', '105.690945')	36.47	44	4.75	1002	03/07/2021 11:00	19				19.0	8.0		2
Nghệ An	('18.675369', '105.690945')	36.82	47	4.8	1004	03/07/2021 12:00	17				17.0	6.0		2
Nghệ An	('18.675369', '105.690945')	37.7	41	3.46	1001	03/07/2021 13:00	12				12.0	4.0		2
Nghệ An	('18.675369', '105.690945')	37.63	42	3.5	1000	03/07/2021 14:00	10				10.0	4.0		2
Nghệ An	('18.675369', '105.690945')	36.66	45	3.4	1000	03/07/2021 15:00	11				11.0	4.0		2
Nghệ An	('18.675369', '105.690945')	35.22	50	3.76	999	03/07/2021 16:00	13				13.0	4.0		2
Nghệ An	('18.675369', '105.690945')	33.13	56	3.36	1000	03/07/2021 17:00	16				16.0	9.0		2
Nghệ An	('18.675369', '105.690945')	31.87	56	2.89	1000	03/07/2021 18:00	21				21.0	10.0		2
Nghệ An	('18.675369', '105.690945')	30.91	61	2.16	1002	03/07/2021 19:00	23				23.0	11.0		2
Nghệ An	('18.675369', '105.690945')	30.31	62	2.07	1002	03/07/2021 20:00	25				25.0	15.0		2
Nghệ An	('18.675369', '105.690945')	29.68	62	1.69	1003	03/07/2021 21:00	20				20.0	13.0		2
Nghệ An	('18.675369', '105.690945')	29.26	64	1.6	1003	03/07/2021 22:00	16				16.0	11.0		2
Nghệ An	('18.675369', '105.690945')	28.86	66	1.43	1003	03/07/2021 23:00	13				13.0	9.0		2
Nghệ An	('18.675369', '105.690945')	32.46	58	1.76	1004	04/07/2021 08:00	29				29.0	17.0		2
Nghệ An	('18.675369', '105.690945')	34.26	53	1.13	1004	04/07/2021 09:00	23				23.0	13.0		2
Nghệ An	('18.675369', '105.690945')	35.67	48	0.59	1003	04/07/2021 10:00	18				18.0	10.0		2
Nghệ An	('18.675369', '105.690945')	36.18	46	2.33	1002	04/07/2021 11:00	15				15.0	8.0		2
Nghệ An	('18.675369', '105.690945')	36.23	48	4.06	1002	04/07/2021 12:00	12				12.0	6.0		2
Nghệ An	('18.675369', '105.690945')	35.91	50	4.78	1001	04/07/2021 13:00	9				9.0	5.0		2
Nghệ An	('18.675369', '105.690945')	34.87	55	5.65	1000	04/07/2021 14:00	7				7.0	5.0		2
Nghệ An	('18.675369', '105.690945')	36.88	51	3.29	1000	04/07/2021 15:00	9				9.0	5.0		2
Nghệ An	('18.675369', '105.690945')	32.26	66	5.36	1000	04/07/2021 16:00	10				10.0	6.0		2
Nghệ An	('18.675369', '105.690945')	31.13	73	4.79	1000	04/07/2021 17:00	12				12.0	7.0		2
Nghệ An	('18.675369', '105.690945')	30.19	77	5.33	1001	04/07/2021 18:00	19				19.0	13.0		2
Nghệ An	('18.675369', '105.690945')	29.58	80	5.3	1002	04/07/2021 19:00	20				20.0	16.0		2
Nghệ An	('18.675369', '105.690945')	29.32	81	3.76	1003	04/07/2021 20:00	18				18.0	14.0		2
Nghệ An	('18.675369', '105.690945')	29.14	80	2.61	1004	04/07/2021 21:00	16				16.0	13.0		2
Nghệ An	('18.675369', '105.690945')	28.91	78	1.78	1004	04/07/2021 22:00	15				15.0	11.0		2
Nghệ An	('18.675369', '105.690945')	28.6	78	1.3	1004	04/07/2021 23:00	16				16.0	12.0		2
Nghệ An	('18.675369', '105.690945')	33.03	61	3.03	1005	05/07/2021 10:00	34				34.0	28.0		2
Nghệ An	('18.675369', '105.690945')	33.24	60	3.46	1004	05/07/2021 11:00	31				31.0	26.0		2
Nghệ An	('18.675369', '105.690945')	33.33	60	3.45	1003	05/07/2021 12:00	28				28.0	23.0		2
Nghệ An	('18.675369', '105.690945')	32.16	68	5.11	1001	05/07/2021 15:00	18				18.0	16.0		2
Nghệ An	('18.675369', '105.690945')	31.42	72	4.41	1001	05/07/2021 16:00	17				17.0	15.0		2
Nghệ An	('18.675369', '105.690945')	30.5	78	3.76	1001	05/07/2021 17:00	18				18.0	15.0		2
Nghệ An	('18.675369', '105.690945')	28.92	84	3.16	1002	05/07/2021 18:00	20				20.0	17.0		2
Nghệ An	('18.675369', '105.690945')	28.37	84	2.68	1004	05/07/2021 19:00	21				21.0	19.0		2
Nghệ An	('18.675369', '105.690945')	28.34	83	2.3	1004	05/07/2021 20:00	20				20.0	19.0		2
Nghệ An	('18.675369', '105.690945')	28.26	83	2.28	1005	05/07/2021 21:00	18				18.0	18.0		2
Nghệ An	('18.675369', '105.690945')	28.18	84	2.17	1005	05/07/2021 22:00	17				17.0	16.0		2
Nghệ An	('18.675369', '105.690945')	27.51	86	1.93	1004	05/07/2021 23:00	17				17.0	17.0		2
Nghệ An	('18.675369', '105.690945')	31.29	67	1.92	1005	06/07/2021 09:00	31				31.0	27.0		2
Nghệ An	('18.675369', '105.690945')	32.22	62	2.89	1004	06/07/2021 10:00	30				30.0	27.0		2
Nghệ An	('18.675369', '105.690945')	32.57	60	3.37	1004	06/07/2021 11:00	30				30.0	29.0		2
Nghệ An	('18.675369', '105.690945')	32.86	59	3.7	1003	06/07/2021 12:00	25				25.0	23.0		2
Nghệ An	('18.675369', '105.690945')	32.45	61	4.03	1002	06/07/2021 13:00	18				18.0	17.0		2
Nghệ An	('18.675369', '105.690945')	31.88	63	3.94	1001	06/07/2021 14:00	14				14.0	13.0		2
Nghệ An	('18.675369', '105.690945')	31.71	64	3.9	1001	06/07/2021 15:00	12				12.0	11.0		2
Nghệ An	('18.675369', '105.690945')	31.09	67	3.38	1002	06/07/2021 16:00	11				11.0	10.0		2
Nghệ An	('18.675369', '105.690945')	28.53	79	1.37	1004	06/07/2021 19:00	18				18.0	16.0		2
Nghệ An	('18.675369', '105.690945')	28.45	68	1.04	1002	04/07/2021 00:00	11				11.0	7.0		2
Nghệ An	('18.675369', '105.690945')	28.15	67	1.23	1002	04/07/2021 01:00	10				10.0	6.0		2
Nghệ An	('18.675369', '105.690945')	28.26	77	1.2	1003	05/07/2021 00:00	18				18.0	13.0		2
Nghệ An	('18.675369', '105.690945')	28.03	79	0.74	1003	05/07/2021 01:00	17				17.0	14.0		2
Nghệ An	('18.675369', '105.690945')	27.77	79	0.66	1003	05/07/2021 02:00	17				17.0	15.0		2
Nghệ An	('18.675369', '105.690945')	27.56	80	0.92	1003	05/07/2021 03:00	16				16.0	15.0		2
Nghệ An	('18.675369', '105.690945')	27.3	80	1.23	1004	05/07/2021 04:00	17				17.0	16.0		2
Nghệ An	('18.675369', '105.690945')	27.51	81	1.66	1004	05/07/2021 05:00	17				17.0	16.0		2
Nghệ An	('18.675369', '105.690945')	29.55	73	1.66	1005	05/07/2021 06:00	19				19.0	17.0		2
Nghệ An	('18.675369', '105.690945')	28.77	77	1.66	1005	05/07/2021 07:00	28				28.0	22.0		2
Nghệ An	('18.675369', '105.690945')	30.4	69	1.33	1005	05/07/2021 08:00	31				31.0	25.0		2
Nghệ An	('18.675369', '105.690945')	31.81	65	1.16	1005	05/07/2021 09:00	34				34.0	28.0		2
Nghệ An	('18.675369', '105.690945')	27.32	87	1.46	1004	06/07/2021 00:00	17				17.0	17.0		2
Nghệ An	('18.675369', '105.690945')	27.58	85	1.04	1004	06/07/2021 01:00	15				15.0	15.0		2
Nghệ An	('18.675369', '105.690945')	27.16	86	1.13	1003	06/07/2021 02:00	14				13.0	14.0		2
Nghệ An	('18.675369', '105.690945')	29.91	74	1.78	1005	06/07/2021 08:00	28				28.0	24.0		2
Nghệ An	('18.675369', '105.690945')	31.86	66	1.7	1003	04/07/2021 07:00	29				29.0	17.0		2
Nghệ An	('18.675369', '105.690945')	30.44	68	1.62	1004	04/07/2021 06:00	20				20.0	14.0		2
Nghệ An	('18.675369', '105.690945')	29.18	70	1.62	1002	04/07/2021 05:00	15				15.0	12.0		2
Nghệ An	('18.675369', '105.690945')	28.23	73	1.43	1005	04/07/2021 04:00	14				14.0	9.0		2
Nghệ An	('18.675369', '105.690945')	27.16	75	1.83	1003	04/07/2021 03:00	12				12.0	7.0		2
Nghệ An	('18.675369', '105.690945')	26.02	76	2.02	1004	04/07/2021 02:00	11				11.0	7.0		2
Nghệ An	('18.675369', '105.690945')	32.43	63	3.75	1001	05/07/2021 14:00	21				21.0	18.0		2
Nghệ An	('18.675369', '105.690945')	31.55	65	4.86	1001	05/07/2021 13:00	24				24.0	21.0		2
Nghệ An	('18.675369', '105.690945')	28.74	78	2.01	1001	06/07/2021 07:00	22				22.0	21.0		2
Nghệ An	('18.675369', '105.690945')	28.12	80	1.77	1001	06/07/2021 06:00	23				21.0	23.0		2
Nghệ An	('18.675369', '105.690945')	27.55	81	1.83	1001	06/07/2021 05:00	19				16.0	19.0		2
Nghệ An	('18.675369', '105.690945')	25.67	83	1.32	1001	06/07/2021 04:00	13				13.0	13.0		2
Nghệ An	('18.675369', '105.690945')	26.53	85	1.56	1001	06/07/2021 03:00	14				13.0	14.0		2
Nghệ An	('18.675369', '105.690945')	28.94	78	2.51	1002	06/07/2021 18:00	15				15.0	13.0		2
Nghệ An	('18.675369', '105.690945')	29.41	72	2.68	1001	06/07/2021 17:00	12				12.0	11.0		2
